MG,Plantões Médicos Campo Belo - MG,ok
MG,Plantões Médicos Oliveira - MG,ok
MG,Plantões Médicos Passos - MG,ok
MG,Plantões Médicos São Sebastião do Paraíso - MG,ok
MG,Plantões Médicos Alfenas - MG,ok
MG,Plantões Médicos Varginha - MG,ok
MG,Plantões Médicos Poços de Caldas - MG,ok
MG,Plantões Médicos Pouso Alegre - MG,ok
MG,Plantões Médicos Santa Rita do Sapucaí - MG,ok
MG,Plantões Médicos São Lourenço - MG,ok
MG,Plantões Médicos Andrelândia - MG,ok
MG,Plantões Médicos Itajubá - MG,ok
MG,Plantões Médicos Lavras - MG,ok
MG,Plantões Médicos São João Del Rei - MG,ok
MG,Plantões Médicos Barbacena - MG,ok
MG,Plantões Médicos Ponte Nova - MG,ok
MG,Plantões Médicos Manhuaçu - MG,ok
MG,Plantões Médicos Viçosa - MG,ok
MG,Plantões Médicos Muriaé - MG,ok
MG,Plantões Médicos Ubá - MG,ok
MG,Plantões Médicos Juiz de Fora - MG,ok
MG,Plantões Médicos Cataguases - MG,ok
MS,Plantões Médicos Baixo Pantanal - MS,
MS,Plantões Médicos Aquidauana - MS,
MS,Plantões Médicos Alto Taquari - MS,
MS,Plantões Médicos Campo Grande - MS,
MS,Plantões Médicos Cassilândia - MS,
MS,Plantões Médicos Paranaíba - MS,
MS,Plantões Médicos Três Lagoas - MS,
MS,Plantões Médicos Nova Andradina - MS,
MS,Plantões Médicos Bodoquena - MS,
MS,Plantões Médicos Dourados - MS,
MS,Plantões Médicos Iguatemi - MS,
MT,Plantões Médicos Aripuanã - MT,
MT,Plantões Médicos Alta Floresta - MT,
MT,Plantões Médicos Colíder - MT,
MT,Plantões Médicos Parecis - MT,
MT,Plantões Médicos Arinos - MT,
MT,Plantões Médicos Alto Teles Pires - MT,
MT,Plantões Médicos Sinop - MT,
MT,Plantões Médicos Paranatinga - MT,
MT,Plantões Médicos Norte Araguaia - MT,
MT,Plantões Médicos Canarana - MT,
MT,Plantões Médicos Médio Araguaia - MT,
MT,Plantões Médicos Alto Guaporé - MT,
MT,Plantões Médicos Tangará da Serra - MT,
MT,Plantões Médicos Jauru - MT,
MT,Plantões Médicos Alto Paraguai - MT,
MT,Plantões Médicos Rosário Oeste - MT,
MT,Plantões Médicos Cuiabá - MT,
MT,Plantões Médicos Alto Pantanal - MT,
MT,Plantões Médicos Primavera do Leste - MT,
MT,Plantões Médicos Tesouro - MT,
MT,Plantões Médicos Rondonópolis - MT,
MT,Plantões Médicos Alto Araguaia - MT,
PA,Plantões Médicos Óbidos - PA,
PA,Plantões Médicos Santarém - PA,
PA,Plantões Médicos Almeirim - PA,
PA,Plantões Médicos Portel - PA,
PA,Plantões Médicos Furos de Breves - PA,
PA,Plantões Médicos Arari - PA,
PA,Plantões Médicos Belém - PA,
PA,Plantões Médicos Castanhal - PA,
PA,Plantões Médicos Salgado - PA,
PA,Plantões Médicos Bragantina - PA,
PA,Plantões Médicos Cametá - PA,
PA,Plantões Médicos Tomé-Açu - PA,
PA,Plantões Médicos Guamá - PA,
PA,Plantões Médicos Itaituba - PA,
PA,Plantões Médicos Altamira - PA,
PA,Plantões Médicos Tucuruí - PA,
PA,Plantões Médicos Paragominas - PA,
PA,Plantões Médicos São Félix do Xingu - PA,
PA,Plantões Médicos Parauapebas - PA,
PA,Plantões Médicos Marabá - PA,
PA,Plantões Médicos Redenção - PA,
PA,Plantões Médicos Conceição do Araguaia - PA,
PB,Plantões Médicos Catolé do Rocha - PB,
PB,Plantões Médicos Cajazeiras - PB,
PB,Plantões Médicos Sousa - PB,
PB,Plantões Médicos Patos - PB,
PB,Plantões Médicos Piancó - PB,
PB,Plantões Médicos Itaporanga - PB,
PB,Plantões Médicos Serra do Teixeira - PB,
PB,Plantões Médicos Seridó Ocidental Paraibano - PB,
PB,Plantões Médicos Seridó Oriental Paraibano - PB,
PB,Plantões Médicos Cariri Ocidental - PB,
PB,Plantões Médicos Cariri Oriental - PB,
PB,Plantões Médicos Curimataú Ocidental - PB,
PB,Plantões Médicos Curimataú Oriental - PB,
